STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,MEASURE,Measure,VALUE_ADDED_SOURCE_AREA,Value added origin area,VALUE_ADDED_SOURCE_ACTIVITY,Value added origin activity,EXPORTING_AREA,Exporting area,EXPORTING_ACTIVITY,Exporting activity,UNIT_MEASURE,Unit of measure,FREQ,Frequency of observation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,UNIT_MULT,Unit multiplier
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,WXOECD,Non-OECD economies,_T,Total - All activities,USA,United States,J61,Telecommunications,USD,US dollar,A,Annual,2022,,459.777,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,WXOECD,Non-OECD economies,_T,Total - All activities,USA,United States,J61,Telecommunications,USD,US dollar,A,Annual,2009,,264.152,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,WXOECD,Non-OECD economies,_T,Total - All activities,USA,United States,J61,Telecommunications,USD,US dollar,A,Annual,2010,,366.674,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,OECD,OECD,_T,Total - All activities,USA,United States,J61,Telecommunications,USD,US dollar,A,Annual,2010,,19686.649,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,OECD,OECD,_T,Total - All activities,USA,United States,J61,Telecommunications,USD,US dollar,A,Annual,2011,,21765.414,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,OECD,OECD,_T,Total - All activities,USA,United States,J61,Telecommunications,USD,US dollar,A,Annual,2012,,23917.512,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,OECD,OECD,_T,Total - All activities,USA,United States,J61,Telecommunications,USD,US dollar,A,Annual,2013,,25014.594,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,OECD,OECD,_T,Total - All activities,USA,United States,J61,Telecommunications,USD,US dollar,A,Annual,2003,,9863.548,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,OECD,OECD,_T,Total - All activities,USA,United States,J61,Telecommunications,USD,US dollar,A,Annual,2004,,10818.58,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,WXOECD,Non-OECD economies,_T,Total - All activities,USA,United States,J61,Telecommunications,USD,US dollar,A,Annual,2005,,132.474,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,WXOECD,Non-OECD economies,_T,Total - All activities,USA,United States,J61,Telecommunications,USD,US dollar,A,Annual,2007,,229.582,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,OECD,OECD,_T,Total - All activities,USA,United States,J61,Telecommunications,USD,US dollar,A,Annual,2007,,16789.303,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,WXOECD,Non-OECD economies,_T,Total - All activities,USA,United States,J61,Telecommunications,USD,US dollar,A,Annual,2014,,468.383,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,OECD,OECD,_T,Total - All activities,USA,United States,J61,Telecommunications,USD,US dollar,A,Annual,2016,,22546.422,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,WXOECD,Non-OECD economies,_T,Total - All activities,USA,United States,J61,Telecommunications,USD,US dollar,A,Annual,2016,,362.922,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,OECD,OECD,_T,Total - All activities,USA,United States,J61,Telecommunications,USD,US dollar,A,Annual,2020,,15462.133,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,WXOECD,Non-OECD economies,_T,Total - All activities,USA,United States,J61,Telecommunications,USD,US dollar,A,Annual,2000,,68.768,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,OECD,OECD,_T,Total - All activities,USA,United States,J61,Telecommunications,USD,US dollar,A,Annual,2014,,24993.085,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,OECD,OECD,_T,Total - All activities,USA,United States,J61,Telecommunications,USD,US dollar,A,Annual,2000,,9417.669,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,WXOECD,Non-OECD economies,_T,Total - All activities,USA,United States,J61,Telecommunications,USD,US dollar,A,Annual,2002,,63.054,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,WXOECD,Non-OECD economies,_T,Total - All activities,USA,United States,J61,Telecommunications,USD,US dollar,A,Annual,2003,,95.698,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,OECD,OECD,_T,Total - All activities,USA,United States,J61,Telecommunications,USD,US dollar,A,Annual,2005,,11216.53,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,WXOECD,Non-OECD economies,_T,Total - All activities,USA,United States,J61,Telecommunications,USD,US dollar,A,Annual,2006,,199.82,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,WXOECD,Non-OECD economies,_T,Total - All activities,USA,United States,J61,Telecommunications,USD,US dollar,A,Annual,2013,,413.871,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,WXOECD,Non-OECD economies,_T,Total - All activities,USA,United States,J61,Telecommunications,USD,US dollar,A,Annual,2017,,353.176,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,OECD,OECD,_T,Total - All activities,USA,United States,J61,Telecommunications,USD,US dollar,A,Annual,2017,,21140.703,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,OECD,OECD,_T,Total - All activities,USA,United States,J61,Telecommunications,USD,US dollar,A,Annual,2019,,19297.331,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,WXOECD,Non-OECD economies,_T,Total - All activities,USA,United States,J61,Telecommunications,USD,US dollar,A,Annual,2020,,301.364,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,OECD,OECD,_T,Total - All activities,USA,United States,J61,Telecommunications,USD,US dollar,A,Annual,2021,,15222.94,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,OECD,OECD,_T,Total - All activities,USA,United States,J61,Telecommunications,USD,US dollar,A,Annual,2022,,17467.718,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,OECD,OECD,_T,Total - All activities,USA,United States,J61,Telecommunications,USD,US dollar,A,Annual,2002,,9513.832,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,WXOECD,Non-OECD economies,_T,Total - All activities,USA,United States,J61,Telecommunications,USD,US dollar,A,Annual,2004,,116.377,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,OECD,OECD,_T,Total - All activities,USA,United States,J61,Telecommunications,USD,US dollar,A,Annual,2008,,18525.472,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,WXOECD,Non-OECD economies,_T,Total - All activities,USA,United States,J61,Telecommunications,USD,US dollar,A,Annual,2008,,269.782,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,WXOECD,Non-OECD economies,_T,Total - All activities,USA,United States,J61,Telecommunications,USD,US dollar,A,Annual,2012,,466.861,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_EXGRVA@DF_EXGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross exports,I,EXGRVA,Origin of value added in gross exports,OECD,OECD,_T,Total - All activities,USA,United States,J61,Telecommunications,USD,US dollar,A,Annual,2015,,23872.117,,6,Millions
